Hanzi,Traditional,Pinyin,Pinyin 2,Meaning,Audio
嫩,,nèn,nùn,"soft, tender, delicate; young", [sound:sapi5-07afdc05-ce3ef7a9-9b62b78e-2f672736-58566571.mp3]
韵,,yùn,,rhyme; vowel, [sound:sapi5-614330ea-e7f27632-a5168da6-376f65b8-cefcd663.mp3]
衬,襯,chèn,,underwear; inner garments, [sound:sapi5-e25bf4cf-bf548124-70bd5b5b-e564f458-0ad453a7.mp3]
匈,,xiōng,,"breast, chest, thorax; clamor; the Hsiung Nu 'Huns'", [sound:sapi5-9a8a0e2e-a1477219-99a83612-37432de5-72bfe6c2.mp3]
钧,,jūn,,unit of measure equivalent to thirty catties, [sound:sapi5-6d4fc0d1-1dcd29fd-85e4f76e-65f84f26-bbbdf7ce.mp3]
竖,豎,shù,,"perpendicular, vertical; erect", [sound:sapi5-138e856a-1603de4d-4343a72a-c23a2325-734c1d4e.mp3]
峻,,jùn,,"high, steep, towering; stern", [sound:sapi5-6505ae6a-b759c23f-f863a50a-390c59ed-a954e5a9.mp3]
豹,,bào,,"leopard, panther; surname", [sound:sapi5-4441d3af-182d6294-83011f94-10c3ec2b-a2e910eb.mp3]
捞,撈,lāo,,"scoop out of water; dredge, fish", [sound:sapi5-396b072a-a6dd3110-c2747495-3d090b21-c94a227d.mp3]
菊,,jú,,chrysanthemum, [sound:sapi5-94bfb884-cc9a265f-84691f40-11d7c881-c2dab56e.mp3]
鄙,,bǐ,,mean; low, [sound:sapi5-8fc4d545-286eca30-814152cf-0ac943bf-54d7d822.mp3]
魄,,pò,"bó, tuò",vigor; body; dark part of moon, [sound:sapi5-af6aed7f-1008fc3b-5ae9ef23-bdbfd268-55b5be73.mp3]
兜,,dōu,,pouch, [sound:sapi5-ebe19f10-1148e38e-614d7f59-c5303b66-966c0f30.mp3]
哄,鬨 哄,hōng,"hǒng, hòng","coax; beguile, cheat, deceive", [sound:sapi5-159b3b26-76453153-8110bf8d-4dce1ae1-1531bdfd.mp3]
颖,穎,yǐng,,rice tassel; sharp point; clever, [sound:sapi5-67615367-481fa12b-e79eeaa1-2f476ec2-665743ed.mp3]
镑,,bàng,,pound sterling, [sound:sapi5-ace5d1e2-26a1751f-533d541c-4efb27d4-1bb9c616.mp3]
屑,,xiè,,"bits, scraps, crumbs, fragments", [sound:sapi5-4ac08d74-abfe850f-327ce09b-61775469-e8da3b12.mp3]
蚁,,yǐ,,ants, [sound:sapi5-28f2d493-39b42c86-8124c0f0-f97d5500-3fd4d954.mp3]
壶,壺,hú,,"jar, pot, jug, vase; surname", [sound:sapi5-e966f7eb-cc260be0-90350524-df18a4af-b82e2098.mp3]
怡,,yí,,"harmony; pleasure, joy; be glad", [sound:sapi5-842ed90c-a8996f4b-2df632cf-69548b81-b33381ea.mp3]
渗,滲,shèn,qīn,"soak through, infiltrate", [sound:sapi5-a1beb0b7-b8e7dbb0-ba6ef304-6e6e9bec-b39bdc23.mp3]
秃,禿,tū,,bald, [sound:sapi5-91dbcddc-dc88b122-122bcaa4-554c9235-f08bf384.mp3]
迦,,jiā,xiè,character for transliteration, [sound:sapi5-6c07347f-89223978-3c182d19-2b3123b9-f55cd274.mp3]
旱,,hàn,,drought; dry; dry land, [sound:sapi5-b5c86a7b-39ff435a-16bc5118-2552c026-6ad6f595.mp3]
哟,喲,yo,,"ah, final particle", [sound:sapi5-299d32ce-e5a63f38-e50896ec-afe9fdce-f141cd8d.mp3]
咸,鹹 咸,xián,,"together; all, completely; united", [sound:sapi5-1f61df44-3079d49e-7e9c1188-5de74be9-dff4525d.mp3]
焉,,yān,yí,"thereupon, then; how? why? where?", [sound:sapi5-45adc082-5589fd3e-fa8dbf9a-3fb59621-2ccd1aad.mp3]
谴,譴,qiǎn,,"reprimand, scold, abuse", [sound:sapi5-41458c61-493dd473-7a657034-52e96c18-f19e111c.mp3]
宛,,wǎn,yuān,"seem, as if, crooked", [sound:sapi5-601e8c9f-ed9e1b30-7482c2dc-f2704fa5-4f825234.mp3]
稻,,dào,,"rice growing in field, rice plant", [sound:sapi5-b8c5c3dd-572b0032-31e7f885-0200800f-2ed2db74.mp3]
铸,鑄,zhù,,"melt, cast; coin, mint", [sound:sapi5-81117938-2e64a8f1-4a37c839-c922ec78-73dc4309.mp3]
锻,鍛,duàn,,"forge metal; temper, refine", [sound:sapi5-69dcb028-0e12b856-2ba25c0f-8e2b24c1-ddeb4324.mp3]
伽,,qié,jiā,"transcription of sanskrit 'gha' in buddhist texts ('samgha', etc.); (nursing; attending; entertainer) (Jap.); tample; in Chinese this character is not used alone", [sound:sapi5-ad25883b-ba579257-f8793704-4fd62688-cfc4208d.mp3]
詹,,zhān,"shàn, dàn","surname; talk too much, verbose", [sound:sapi5-51086d62-62b40c04-eb30da09-5b619953-3546b5cc.mp3]
毙,,bì,,kill; die violent death, [sound:sapi5-1b9a2444-9403d6db-357175bc-55311a82-bf1169dd.mp3]
恍,,huǎng,,seemingly; absent-minded, [sound:sapi5-75d6b0d7-1c9a3e5a-05c29b51-ff0507e9-2f9a6660.mp3]
贬,貶,biǎn,,"decrease, lower; censure, criticize", [sound:sapi5-77293440-76520319-c0e119b0-109f7feb-9e8acd0a.mp3]
烛,燭,zhú,,"candle, taper; shine, illuminate", [sound:sapi5-e970f57f-08d64891-20b55fe3-ab412b7d-427dd15b.mp3]
骇,,hài,,"terrify, frighten, scare; shock", [sound:sapi5-e899d160-490f5373-cf79dd75-f07d452e-cf6eb2f5.mp3]
芯,,xīn,xìn,pith from rush (juncus effusus), [sound:sapi5-b27ca650-0cfc1bb7-484df87c-b6d0edce-0fa8d938.mp3]
汁,,zhī,"xié, shī","juice, liquor, fluid, sap, gravy, sauce", [sound:sapi5-039b8277-ccdbfe4e-c71eacfa-21d237c4-0a5aae9c.mp3]
桓,,huán,,variety of tree; surname, [sound:sapi5-fdd02f1e-ae2cf2c4-52c7d640-52901474-5cbffdf5.mp3]
坊,,fāng,fáng,"neighborhood, urban subdivision; (J) priest's residence; (Buddhist) priest; boy", [sound:sapi5-5fab936b-976739e2-72d36d7c-3e21f357-1db86ffe.mp3]
驴,,lǘ,,"donkey, ass", [sound:sapi5-db9a9b6c-49316259-8ad4542f-4256529b-bfe2cb0c.mp3]
朽,,xiǔ,,"decayed, rotten; rot, decay", [sound:sapi5-36c17269-eea6f5f8-ed6da594-c48d2225-a3313b64.mp3]
靖,,jìng,jīng,"pacify; appease; calm, peaceful", [sound:sapi5-7cff9bcb-c849744a-865c0468-d12ee5e1-629d3b48.mp3]
佣,傭 佣,yòng,"yōng, yóng",commission fee, [sound:sapi5-dcd42e5e-3747880d-0bacc363-d9658938-02fe733c.mp3]
汝,,rǔ,,you, [sound:sapi5-f16af5a3-b507e5d2-93ec67f3-feade9e8-3a10f9f2.mp3]
碌,,lù,"liù, luò","rough, uneven, rocky; mediocre", [sound:sapi5-07ffe14d-f9f2269f-eacab351-c305a5e8-7fa4d501.mp3]
迄,,qì,,"extend, reach; until; till", [sound:sapi5-0b370656-f4219fdf-66e9c5ce-7db0da6c-00b0309a.mp3]
冀,,jì,,hope for; wish; Hebei province, [sound:sapi5-1f4f21fc-41aae784-c304faff-d58c92ec-d3eeb424.mp3]
荆,,jīng,,thorns; brambles; my wife; cane, [sound:sapi5-915408d0-de165147-ebd3571a-c1ce4ede-c805084b.mp3]
崔,,cuī,,"high, lofty, towering; surname", [sound:sapi5-801c37c9-573a6cfa-b2f4fd72-9230af2a-c515c9a7.mp3]
雁,,yàn,,wild goose, [sound:sapi5-486151a6-42b1db37-9ef4bddc-6cdfa25f-40302e8a.mp3]
绅,紳,shēn,,"girdle; tie, bind; gentry", [sound:sapi5-5957a64c-f2264233-1ae64b5c-08d10fbe-51e58af2.mp3]
珊,,shān,,coral, [sound:sapi5-b24cf9fe-0501740f-ebdb5ac6-5dc8b516-98d342f7.mp3]
榜,,bǎng,"bàng, bēng,páng",placard; list of successful exam candidates, [sound:sapi5-3926565d-b54ff62c-1fb93855-26bf8c0c-cf4d7f87.mp3]
诵,誦,sòng,,"recite, chant, repeat", [sound:sapi5-be5257b6-73e0f438-54b0160b-7326134e-fcf793f5.mp3]
傍,,bàng,páng,"by side of, beside, near, close", [sound:sapi5-caa2a271-0a5aa52f-37e3e06a-4af5c86e-7919a44f.mp3]
彦,,yàn,,elegant, [sound:sapi5-785ffd02-b1f48e1c-1a2a4f4c-76bac330-1bbb4cfb.mp3]
醇,,chún,,"rich, good as wine; pure, unmixed", [sound:sapi5-f96aa4ca-1ca83208-128c84c8-8cee43f8-d2c3c2c3.mp3]
笛,,dí,,bamboo flute; whistle, [sound:sapi5-d1c72681-add9ee9b-8ece63b2-16b044f1-35f981b3.mp3]
禽,,qín,,"birds, fowl; surname;; capture", [sound:sapi5-f289d0ad-2bff35b0-c54b17de-e01eadf5-c5a4679c.mp3]
勿,,wù,,"must not, do not; without, never", [sound:sapi5-bb136005-9f831f18-de898cc7-dc556d9e-be6b89af.mp3]
娟,,juān,,"beautiful, graceful", [sound:sapi5-b66defdd-2882b0cb-2a792b23-b8416a5d-4c98c53c.mp3]
瞄,,miáo,,take aim at; look at, [sound:sapi5-734d8b5d-8f8ea26e-7644d2cf-fb281648-4ed317b0.mp3]
幢,,chuáng,zhuàng,carriage curtain; sun screen, [sound:sapi5-1986a802-109aee55-cc8f0925-66fc522d-72c8607f.mp3]
寇,,kòu,,"bandits, thieves; enemy; invade", [sound:sapi5-f4d1bcda-ddf5e877-d29b32b9-fc8b20a8-b1b3703c.mp3]
睹,,dǔ,,"look at, gaze at; observe", [sound:sapi5-71c045f9-4595a4b7-1b6d646c-dd5f5c7a-04b0518b.mp3]
贿,賄,huì,,"bribe; bribes; riches, wealth", [sound:sapi5-e3ca0491-6241e058-b73b47a5-2e9475e8-cf19d1f6.mp3]
踩,,cǎi,kuí,step on, [sound:sapi5-34a35ec4-5b7e1edf-ec206ae2-d607877d-951c35a8.mp3]
霆,,tíng,,a sudden peal of thunder, [sound:sapi5-2de5cf15-05ada52f-b5c8c1cb-0146f41c-8cf90b46.mp3]
呜,,wū,,"sound of crying, sobbing", [sound:sapi5-3ffc5566-dce38e95-a84b1e8f-e0c5e454-01322597.mp3]
拱,,gǒng,,"fold hands on breast; bow, salute", [sound:sapi5-60afa80d-fe845bb6-b162f8af-39123094-933739ab.mp3]
妃,,fēi,pèi,"wife, spouse; imperial concubine", [sound:sapi5-91cb9739-58f7e2a4-e9483b45-0f9283cf-fbb8e249.mp3]
蔑,衊 蔑,miè,,"disdain, disregard; slight", [sound:sapi5-be7e0ca2-a827219f-ba39f408-311b5733-bc477ad6.mp3]
谕,,yù,,"proclaim, instruct; edict", [sound:sapi5-c82bb609-ddd8d73c-dd6c73f6-289b1067-6f43782a.mp3]
缚,縛,fú,,to tie, [sound:sapi5-e2b00261-fc7d94e5-fa4860a3-b82a158d-6d5d484a.mp3]
诡,,guǐ,,"deceive, cheat, defraud; sly", [sound:sapi5-582debfc-cbaf4301-b90786ef-e4f7bbe0-206ca7a3.mp3]
篷,,péng,,"awning, covering; sail; boat", [sound:sapi5-5790d1f2-8d796d44-ff235a39-287430ec-a1f6d5b4.mp3]
淹,,yān,yǎn,"drown; cover with liquid, steep", [sound:sapi5-8702ca63-2af8e2cd-4af1c922-67fe84e1-d41fdb70.mp3]
腕,,wàn,,wrist, [sound:sapi5-25f345b2-5570d40b-0097dbdb-97bcbef2-9c349429.mp3]
煮,,zhǔ,,cook, [sound:sapi5-a0ddd9f0-b7570fdc-6d0cb87e-07b661e7-d58c8952.mp3]
倩,,qiàn,qìng,"beautiful, lovely; son-in-law", [sound:sapi5-fcd72882-4a6965cf-76b9655b-fc4ad8f4-dc2450dc.mp3]
卒,,zú,cù,"soldier; servant; at last, finally", [sound:sapi5-29c5ce5a-d0008c77-36fb9248-4a733b0c-19dd83d8.mp3]
勘,,kān,kàn,investigate; compare; collate, [sound:sapi5-9905605b-5a15e658-eed86c9c-0d7311d1-b0277f9d.mp3]
馨,,xīn,xīng,"fragrant, aromatic; distant fragrance", [sound:sapi5-c3f4d166-9bd8f090-2680f97e-08785599-efcaa0c8.mp3]
逗,,dòu,"zhù, tóu, qí","tempt, allure, arouse, stir", [sound:sapi5-0e9756dc-c7a593d2-fd467e3a-3b31fe56-b651f364.mp3]
甸,,diàn,"shèng, tián,yìng",suburbs of capital; govern; crops, [sound:sapi5-befe4e65-8a3f994f-c1dc8ce5-ada90fa2-fa2ad795.mp3]
贱,,jiàn,,"mean, low; cheap, worthless", [sound:sapi5-4f804a42-e0eda152-75309c0c-b7c3f37d-67e61c06.mp3]
炒,,chǎo,,"fry, saute, roast, boil, cook", [sound:sapi5-08227e1a-99be38b1-f75a9171-ff4cbc3a-b0d44c28.mp3]
灿,燦,càn,,"vivid, illuminating; bright", [sound:sapi5-e8e98ea1-07db03ab-f8a1b7db-99c950a5-6c373260.mp3]
敞,,chǎng,,"roomy, spacious, open, broad", [sound:sapi5-5066d7e8-56dc98f8-0f262fdc-cc794c6b-af6bee48.mp3]
蜡,蠟,là,"zhà, chà, qù, jí","wax; candle; waxy, glazed; maggot; as a non-simplified form sometimes used as an equivalent to U+410D 䄍, meaning imperial harvest", [sound:sapi5-8f75c00a-fa7df81e-c2b7bc18-dc23568e-afbd4144.mp3]
囚,,qiú,,"prisoner, convict; confine", [sound:sapi5-832befcf-cf9ae019-4b4958d4-e5628f3f-7e99bbdd.mp3]
栗,,lì,,"chestnut tree, chestnuts; surname", [sound:sapi5-6a87a92d-943f51d6-28bc754d-ddf3d366-6b939aa8.mp3]
辜,,gū,,"crime, criminal offense", [sound:sapi5-5385d1dc-be76a9d5-ff88114c-f74f111c-ed104562.mp3]
垫,墊,diàn,,"advance money, pay for another", [sound:sapi5-ab567336-8484343f-b0efd7dc-5742360c-8a2b5d20.mp3]
妒,,dù,,"jealous, envious", [sound:sapi5-aef34e91-53e54dd9-26c98b6c-a429ad0d-56dee34a.mp3]
魁,,kuí,"kuǐ, kuài",chief; leader; best; monstrous, [sound:sapi5-95311c2e-7ffe21be-ed001c62-b41b2c00-babe7969.mp3]
谣,謠,yáo,,"sing; folksong, ballad; rumor", [sound:sapi5-c308fc89-9b1d8f1f-7ca83f17-8a2cab33-739930d8.mp3]
寞,,mò,,"silent, still, lonely, solitary", [sound:sapi5-a9c0e597-38bc3c47-0b4b6f63-67c14ea9-27aabd57.mp3]
蜀,,shǔ,,name of an ancient state, [sound:sapi5-726bdf67-ef78183e-08014cce-c464f6a4-617ff551.mp3]
甩,,shuǎi,,"throw away, discard", [sound:sapi5-46f73cb6-10f04176-ac9c675d-d949876b-acad3e4f.mp3]
涯,,yá,,"shore, bank, water's edge", [sound:sapi5-aeaeb7c1-c6c94c8c-c16b4812-d4f0650d-c50ef752.mp3]
枕,,zhěn,zhèn,pillow, [sound:sapi5-06780195-7e907b5d-52533e9b-4b684d96-b8328a19.mp3]
丐,,gài,,beggar; beg; give, [sound:sapi5-d10faca5-3cd0794a-3e3c048d-4a2b7dfc-79148706.mp3]
泳,,yǒng,,dive; swim, [sound:sapi5-34b9f6a0-4083dd84-8cf85c4a-eade96c8-ea9c2771.mp3]
奎,,kuí,,stride of man; one of the twenty-eight lunar mansions, [sound:sapi5-f18e9570-342a3951-f89428c5-cfa15fb6-b1a9ba2f.mp3]
泌,,mì,bì,"to seep out, excrete", [sound:sapi5-9be36276-d50fec00-8ec2bd47-573a7e79-b3f22d5f.mp3]
逾,,yú,dòu,"go over, pass over, exceed", [sound:sapi5-f96f086d-9e550936-fce57870-37a8fc4a-45514b4e.mp3]
叮,,dīng,,exhort or enjoin repeatedly, [sound:sapi5-1baff359-42eb132a-a9efc744-3ef5e0dc-b4ebae93.mp3]
黛,,dài,,blacken eyebrows; black, [sound:sapi5-74e5fdc8-1e23a703-2578f426-33044fac-a279db9c.mp3]
燥,,zào,sào,"dry, parched, arid; quick-tempered", [sound:sapi5-6e78b2d0-5610e38b-d5c60eb0-fb878ad7-8f8c8d32.mp3]
掷,擲,zhí,"zhī, zhì","throw, hurl, cast, fling", [sound:sapi5-24d75dec-aa9b6c76-06e0804f-0829caa2-ec412459.mp3]
藉,,jiè,jí,"mat, pad; rely on; pretext", [sound:sapi5-42cc0bdd-62a5819a-18c0b550-12488b5b-058340f5.mp3]
枢,,shū,,door hinge; pivot; center of power, [sound:sapi5-e33c93b0-d318aae8-65becf2c-2e54fcab-5252c6ad.mp3]
憎,,zēng,,"hate, detest, abhor; hatred", [sound:sapi5-8b784c1a-3aec0d00-dc97a794-b55b1681-34624a3a.mp3]
鲸,,jīng,qíng,whale, [sound:sapi5-bcf26144-698ca08d-15ea2721-9da710c9-08326fb5.mp3]
弘,,hóng,,"enlarge, expand; liberal, great", [sound:sapi5-31576392-f24b5a24-7b690ceb-92f34d0f-77293405.mp3]
倚,,yǐ,,"rely on, depend on; lean heavily", [sound:sapi5-e9b13b46-88e7bc49-36a683ae-647e0706-677cdc08.mp3]
侮,,wǔ,,"insult, ridicule, disgrace", [sound:sapi5-b1482c9e-2d27997e-dd59fbb5-c740bf5e-74659930.mp3]
藩,,fán,fān,fence; boundary; outlying border, [sound:sapi5-2ea05af9-b4871ad1-73b02f28-3ae53890-53209f9c.mp3]
拂,,fú,bì,"shake off, brush away; dust", [sound:sapi5-1b17540f-a1539579-ef97221b-9cae5d65-dd45e540.mp3]
鹤,,hè,,crane; Grus species (various), [sound:sapi5-f86be67d-d8fc35ae-246942fd-e56ea205-b80f7f9e.mp3]
蚀,蝕,shí,,nibble away; erode; eclipse, [sound:sapi5-98f04e27-5da18501-52b47122-2895582c-6fe1347d.mp3]
浆,,jiāng,jiàng,any thick fluid; starch; broth, [sound:sapi5-b8cc8f6d-cd645252-766ef216-561077e8-b47078c4.mp3]
芙,,fú,,hibiscus, [sound:sapi5-12f6a27b-ea3793ef-66a9def4-4df82043-0b893b10.mp3]
垃,,lā,la,"garbage, refuse, waste", [sound:sapi5-38eceaac-308d5609-259c7d71-4154825f-a782a32b.mp3]
烤,,kǎo,,"bake, roast, toast, cook", [sound:sapi5-1de7fbd6-50c7ea71-0666d3ac-8f4677e1-e02204cf.mp3]
晒,晒 曬,shài,,"dry in sun, expose to sun", [sound:sapi5-cab69889-d7d0e34d-4a067b44-4f2184eb-363c2884.mp3]
霜,,shuāng,,frost; crystallized; candied, [sound:sapi5-ec21ed2b-7be3d436-8019b598-106ac44c-99909250.mp3]
剿,,jiǎo,chāo,"destroy, exterminate, annihilate", [sound:sapi5-b0020228-c1bcf1af-dcddf262-bc28b78a-5dbda9ae.mp3]
蕴,蘊 藴,yùn,,"to collect, gather, store; profound", [sound:sapi5-811b281b-396ec30b-aebd4d9e-87a06f5e-0334cc22.mp3]
圾,,jí,jī,"garbage, rubbish; shaking; danger", [sound:sapi5-bc45aeaf-31274fe1-c4550928-13fe48e2-58c5e379.mp3]
绸,綢,chóu,tāo,"silk cloth, satin damask", [sound:sapi5-81950268-9ba86602-ada37cda-bad097b7-84e815f8.mp3]
屿,嶼,yǔ,xù,island, [sound:sapi5-82b12d75-e717baa3-3a88e34b-3a8072c4-ed8cd88a.mp3]
氢,氫,qīng,,ammonia; hydrogen nitride, [sound:sapi5-b6672e4a-c84edf16-4c2722ee-18c63e55-0e787f10.mp3]
驼,,tuó,,a camel; humpbacked; to carry on the back, [sound:sapi5-f1113d0c-550164ba-0bfca170-bc17eddc-90512aa7.mp3]
妆,粧 妝,zhuāng,,"to adorn oneself, dress up, use make-up", [sound:sapi5-bab62be5-eda3885d-8c67cf82-9784863c-07f7c4fa.mp3]
捆,綑 捆,kǔn,,"tie up; bind, truss up; bundle", [sound:sapi5-bd9fba15-65fb6515-ccbc24b0-47bb7784-04712931.mp3]
铅,鉛,qiān,yán,lead, [sound:sapi5-078bfd1d-770ee542-1adf0f95-1bd0acc7-634914e8.mp3]
逛,,guàng,kuáng,"ramble, stroll, roam, wander", [sound:sapi5-ddccf804-3b10a1c6-5350fe88-576ddd8c-428d267e.mp3]
淑,,shú,"shū, chù","good, pure, virtuous, charming", [sound:sapi5-3cfc6c85-0bebe7fa-3c86475a-fcdbae5b-db3ab5b3.mp3]
榴,,liú,,pomegranate, [sound:sapi5-a24510e1-c593ffba-52a6279f-9e4a9f9d-88870194.mp3]
丙,,bǐng,,third; 3rd heavenly stem, [sound:sapi5-8a8061e1-f5326a7c-e6d6f4ca-ed4363a0-6fa43dc6.mp3]
痒,癢,yǎng,yáng,itch, [sound:sapi5-810bdc54-8703b272-77cecfe7-4943bd68-7f5305fa.mp3]
钞,鈔,chāo,miǎo,"paper money, bank notes; copy", [sound:sapi5-cd4e6a50-58ee794b-c8f76c8b-7f033988-0aeaf69a.mp3]
蹄,,tí,dì,hoof; leg of pork; little witch, [sound:sapi5-05e5ef23-63919948-f200c0ab-06bfe728-f437e0a9.mp3]
犬,,quǎn,,dog; radical number 94, [sound:sapi5-970c5adf-6ed30d8d-aa1052db-de1737a3-0027d825.mp3]
躬,,gōng,,"body; personally, in person", [sound:sapi5-2db28f8e-f98528f2-ceb410f6-75fd44c1-db511c3d.mp3]
昼,晝,zhòu,,"daytime, daylight", [sound:sapi5-d7b11df1-0a33d0a4-4acda275-396508f3-3308fc3a.mp3]
藻,,zǎo,,"splendid, magnificent; algae", [sound:sapi5-68cf9806-b126bb96-50346a41-ff1a09db-0f512e6b.mp3]
蛛,,zhū,,spider, [sound:sapi5-67b28dac-3609d314-cd1c7f4f-d2a12267-e7ca9345.mp3]
褐,,hé,hè,"coarse woolen cloth; dull, dark", [sound:sapi5-3bd964f5-a1446531-a74b0ace-08c86447-ff2b564a.mp3]
颊,,jiá,,"cheeks, jaw", [sound:sapi5-962e8fa6-b0951ea7-876fc931-2a3681d1-aca4fe02.mp3]
奠,,diàn,,pay respect; settle, [sound:sapi5-dd1f7c72-a94188b2-324fa973-e6d3a5f0-00e118af.mp3]
募,,mù,,"levy, raise; summon; recruit", [sound:sapi5-5dc9ef29-0b656b38-d3f1ac50-389f221f-ee171c99.mp3]
耽,耽 躭,dān,,indulge in; be negligent, [sound:sapi5-cd828962-737a0995-ee121b37-c1a620f0-a0eb00ed.mp3]
蹈,,dǎo,dào,stamp feet; dance, [sound:sapi5-aba2be81-8b45383f-b354651f-bc6b583a-175bc6ca.mp3]
陋,,lòu,,"narrow; crude, coarse; ugly", [sound:sapi5-53f8e82e-cf58e24e-dce8eee4-0224064f-3fcf1c5a.mp3]
侣,侶,lǚ,,companion; associate with, [sound:sapi5-6d375b1e-42c42ff7-ba7f6fb6-83ba2f2d-9795d6fd.mp3]
魅,,mèi,,"kind of forest demon, elf", [sound:sapi5-bb35f07e-72583653-7fc464f7-3721ce8a-7404579c.mp3]
岚,,lán,,"mountain mist, mountain haze", [sound:sapi5-818693ea-91c9265e-52229640-81c3ab1c-720dc961.mp3]
侄,,zhí,,nephew, [sound:sapi5-ad0a0057-1974dfe7-ca7e039d-32c0d785-d3c09889.mp3]
虐,,nüè,,"cruel, harsh, oppressive", [sound:sapi5-c449a17c-45728a40-485e3da9-5c8f45ba-4e1907cb.mp3]
堕,墮,duò,huī,"fall, sink, let fall; degenerate", [sound:sapi5-3df41b5b-301abbba-39326975-fc33e098-b78fe33f.mp3]
陛,,bì,,steps leading throne; throne, [sound:sapi5-ab521ef6-26b34e92-0040b2b2-10a08369-318d9b9f.mp3]
莹,,yíng,,"luster of gems; bright, lustrous", [sound:sapi5-6c0e933d-b7b6602c-f2932bbe-2b7485b5-3e04f305.mp3]
荫,,yìn,yīn,"shade, shelter; protect", [sound:sapi5-1d94e0c3-8c001adf-38087510-d16d29ca-673e3678.mp3]
狡,,jiǎo,xiào,"cunning, deceitful, treacherous", [sound:sapi5-84e153e0-50413ab2-494c0605-c6e9ddc8-8fb38754.mp3]
阀,,fá,,powerful and influential group, [sound:sapi5-be62a865-6fe3e5e5-0312d9ac-22665cc1-44da6dcf.mp3]
绞,,jiǎo,,"twist, wring; intertwine; winch", [sound:sapi5-b804e585-6444e6be-48751a7d-7b1a98a4-3db85810.mp3]
膏,,gāo,gào,"grease, fat; paste, ointment", [sound:sapi5-841b10e6-6fc8b54c-cd0dd7ed-87a8fee6-ec1a6b26.mp3]
垮,,kuǎ,,"be defeated, fail, collapse", [sound:sapi5-560ca8de-40068e5f-cec93d2c-87067131-b99a3e6f.mp3]
茎,莖,jīng,,"stem, stalk", [sound:sapi5-7cec02e3-44f9337a-d2c2646d-ebadead0-cc9f026f.mp3]
缅,,miǎn,,"distant, remote; think of", [sound:sapi5-ae2fa48c-a30da205-b35e48d4-d66cca00-6e8af317.mp3]
喇,,lǎ,,"horn, bugle; lama; final particle", [sound:sapi5-c5ee4b98-6b38ac22-ec342234-9af9c403-dc1ebfc2.mp3]
绒,絨,róng,,"silk, cotton, or woolen fabric", [sound:sapi5-e9c9fe46-5cabde4c-a28bf33e-ae2657bb-14e56e2b.mp3]
搅,攪,jiǎo,,"disturb, agitate, stir up", [sound:sapi5-4e5c1055-589f6ac6-88aa9970-bb093a5f-07020c40.mp3]
凳,,dèng,,bench; stool, [sound:sapi5-03f7b7e2-375fc4b7-f26435aa-cfbfdc64-51a5f1a9.mp3]
梭,,suō,xùn,weaver's shuttle; go to and fro, [sound:sapi5-2643c7a7-c6f30776-af9787bf-2e3b55d8-aaa1d5f3.mp3]
丫,,yā,,forked; bifurcation, [sound:sapi5-af900685-3168e02a-1250ec31-d8da8b82-21632423.mp3]
姬,,jī,,beauty; imperial concubine, [sound:sapi5-86e1e1dc-6a89c7be-93943c5a-250d11c4-42211c5c.mp3]
诏,,zhào,,"decree, proclaim; imperial decree", [sound:sapi5-51a3a487-8677bbeb-3f56e9ba-bc4bf451-67736165.mp3]
钮,,niǔ,,"button, knob; surname", [sound:sapi5-d1ebaef2-a01ddfc2-1dd3596a-28cec045-1370107c.mp3]
棺,,guān,guàn,coffin, [sound:sapi5-da5024ee-0638534f-c8f26340-00d74ab1-62bee34c.mp3]
耿,,gěng,,"bright, shining; have guts", [sound:sapi5-361eda41-9fc619b2-f6ada6a9-22c3af16-64c3b003.mp3]
缔,締,dì,,"tie, join, connect; connection", [sound:sapi5-f7645d9e-ec51c205-9aa70a49-c4554a11-99fd419e.mp3]
懈,,xiè,,"idle, relaxed, remiss", [sound:sapi5-37f99829-22645bba-5a806048-9c3b703d-0b84911a.mp3]
嫉,,jí,,jealousy; be jealous of, [sound:sapi5-bd8f44c9-e1da6039-d32aa9ca-6a6b9be6-007ef477.mp3]
灶,,zào,,"kitchen stove, cooking stove", [sound:sapi5-bf727064-d2abde4f-e06e23d0-5e333f7b-83a849c9.mp3]
匀,勻,yún,,equal, [sound:sapi5-d99bb647-28e470df-cee3a5df-4ee9eb00-e9d2eae8.mp3]
嗣,,sì,,"to connect, inherit; descendants, heirs", [sound:sapi5-d57b1a19-81dbb9bd-10c651a0-eef1dab7-e9505155.mp3]
鸽,鴿,gē,,"pigeon, dove; Columba species (various)", [sound:sapi5-3469c74d-99c9066a-94aee46d-97ebe78c-a0cdc780.mp3]
澡,,zǎo,cāo,"wash, bathe", [sound:sapi5-2033b63f-5c7c3f48-24c7346b-9d09a2d2-d62360e5.mp3]
凿,,záo,zuò,"chisel; bore, pierce", [sound:sapi5-a91b9f5c-d3151b51-eb088a81-3adf1fa8-0198a4e0.mp3]
纬,緯,wěi,,woof; parallels of latitude, [sound:sapi5-f4f1a83f-9d3e1149-a05ef7f3-868fb860-5e623041.mp3]
沸,,fèi,fú,"boil, bubble up, gush", [sound:sapi5-7cb0a035-8822b446-cc31eb40-c01f42ab-d7203baf.mp3]
畴,疇,chóu,,"farmland, arable land; category", [sound:sapi5-b27a6cae-57d6cc5e-5f72dc3a-25539cc9-73ef32fe.mp3]
